Date,Store,Platform,Availability%,Serviceability%,KPT,Cancellation%,Rating,Review Count
2026-08-18,PNQ KK Sangvi,Swiggy,,,,,4.6,2
2026-08-18,PNQ KK Sangvi,Zomato,,,,,4,3
2026-08-18,PNQ Kothrud,Swiggy,,,,,4.6,10
2026-08-18,PNQ Kothrud,Zomato,,,,,4,20
2026-08-18,PNQ Pimpri,Swiggy,,,,,4.6,7
2026-08-18,PNQ Pimpri,Zomato,,,,,4,18
2026-08-18,PNQ Ravet,Swiggy,,,,,4.6,2
2026-08-18,PNQ Ravet,Zomato,,,,,,
2026-08-18,PNQ Tribeca,Swiggy,,,,,4.6,57
2026-08-18,PNQ Tribeca,Zomato,,,,,4.3,125
2026-08-18,PNQ Viman Nagar,Swiggy,,,,,4.6,5
2026-08-18,PNQ Viman Nagar,Zomato,,,,,4,31
2026-08-18,PNQ Wagholi,Swiggy,,,,,4.6,4
2026-08-18,PNQ Wagholi,Zomato,,,,,2.3,3
